Year,January,February,March,April,May,June,July,August,September,October,November,December,Total
2005,2817.00,2618.00,2885.00,3239.00,3318.00,3381.00,3761.00,3501.00,3424.00,3631.00,3436.00,3241.00,39252.00
2006,2931.00,2695.00,3042.00,3138.00,3345.00,3383.00,3527.00,3474.00,3348.00,3462.00,3168.00,3135.00,38648.00
2007,2732.00,2618.00,3092.00,3041.00,3312.00,3281.00,3460.00,3325.00,3235.00,3325.00,3066.00,2948.00,37435.00
2008,2575.00,2586.00,2549.00,2722.00,2887.00,3029.00,3018.00,3224.00,2860.00,3063.00,2829.00,2830.00,34172.00
2009,2377.00,2167.00,2349.00,2592.00,2780.00,2750.00,2787.00,2865.00,2650.00,2622.00,2512.00,2411.00,30862.00
2010,2101.00,1830.00,2213.00,2552.00,2704.00,2569.00,2852.00,2825.00,2799.00,2827.00,2587.00,2437.00,30296.00
2011,2088.00,1880.00,2220.00,2338.00,2578.00,2624.00,2910.00,2749.00,2633.00,2856.00,2494.00,2497.00,29867.00
2012,2283.00,2127.00,2487.00,2434.00,2672.00,2789.00,2833.00,2844.00,2735.00,2658.00,2602.00,2542.00,31006.00
2013,2230.00,1952.00,2356.00,2300.00,2532.00,2692.00,2660.00,2899.00,2741.00,2768.00,2615.00,2457.00,30202.00
2014,2168.00,1893.00,2245.00,2308.00,2596.00,2583.00,2696.00,2800.00,2618.00,2831.00,2714.00,2604.00,30056.00
2015,2371.00,1983.00,2401.00,2439.00,2869.00,2790.00,3021.00,3049.00,2904.00,3070.00,2780.00,2861.00,32538.00
2016,2354.00,2426.00,2694.00,2713.00,3005.00,3025.00,3025.00,3134.00,3154.00,3287.00,3041.00,2890.00,34748.00
2017,2625.00,2312.00,2689.00,2770.00,2915.00,3032.00,3237.00,2990.00,3108.00,3107.00,2903.00,2872.00,34560.00
2018,2631.00,2320.00,2615.00,2572.00,2977.00,3026.00,3056.00,3009.00,3064.00,3108.00,2791.00,2750.00,33919.00
2019,2472.00,2200.00,2540.00,2609.00,2911.00,2915.00,3027.00,3083.00,3070.00,2944.00,2807.00,2666.00,33244.00
Total,36755.00,33607.00,38377.00,39767.00,43401.00,43869.00,45870.00,45771.00,44343.00,45559.00,42345.00,41141.00,500805.00
