Year,Quarter,DOMESTIC,LATIN AMERICA,ATLANTIC,PACIFIC,INTERNATIONAL,TOTAL
2000.00,1.00,139162.00,58927.00,-68918.00,-106308.00,839.00,23702.00
2000.00,2.00,1570500.00,-86040.00,250371.00,154724.00,9541.00,1899096.00
2000.00,3.00,548903.00,33056.00,226224.00,83675.00,45470.00,937327.00
2000.00,4.00,-267068.00,6639.00,-95916.00,5533.00,23388.00,-327425.00
2000.00,TOTAL,1991496.00,12581.00,311761.00,137623.00,79238.00,2532700.00
2001.00,1.00,-822384.00,76822.00,-59644.00,-101160.00,-3410.00,-909776.00
2001.00,2.00,-774977.00,3683.00,116147.00,-205108.00,-62860.00,-923115.00
2001.00,3.00,-2232653.00,-6375.00,-44209.00,-272018.00,-4848.00,-2560103.00
2001.00,4.00,-3404841.00,-63631.00,-194802.00,-190370.00,-19871.00,-3873515.00
2001.00,TOTAL,-7234855.00,10499.00,-182509.00,-768656.00,-90989.00,-8266509.00
2002.00,1.00,-2621918.00,-176148.00,-372012.00,-89470.00,9187.00,-3250361.00
2002.00,2.00,-1298581.00,-44110.00,-43360.00,-49899.00,-33900.00,-1469850.00
2002.00,3.00,-2351704.00,-67435.00,-38578.00,-64051.00,27239.00,-2494531.00
2002.00,4.00,-3056898.00,-149090.00,-575563.00,-288296.00,-80895.00,-4150742.00
2002.00,TOTAL,-9329102.00,-436783.00,-1029513.00,-491717.00,-78369.00,-11365484.00
2003.00,1.00,-1085012.00,-51869.00,-452157.00,-330213.00,-1673.00,-1920924.00
2003.00,2.00,606461.00,100285.00,168328.00,-227315.00,-340.00,647420.00
2003.00,3.00,-642496.00,129566.00,290670.00,-51195.00,7554.00,-265900.00
2003.00,4.00,-348536.00,107826.00,109623.00,-42980.00,-1997.00,-176064.00
2003.00,TOTAL,-1469581.00,285808.00,116463.00,-651702.00,3543.00,-1715469.00
2004.00,1.00,-1622122.00,201821.00,31510.00,-73884.00,6499.00,-1456177.00
2004.00,2.00,-2018851.00,42467.00,115648.00,-61035.00,6648.00,-1915125.00
2004.00,3.00,-1702368.00,38782.00,331619.00,94637.00,113802.00,-1123527.00
2004.00,4.00,-4562813.00,30756.00,-71246.00,-31241.00,24949.00,-4609595.00
2004.00,TOTAL,-9906154.00,313825.00,407530.00,-71523.00,151897.00,-9104424.00
2005.00,1.00,-2956735.00,95583.00,-202866.00,-179050.00,35932.00,-3207135.00
2005.00,2.00,-1511275.00,30014.00,207515.00,-249681.00,36266.00,-1487161.00
2005.00,3.00,-2231293.00,-43150.00,164743.00,-293751.00,70285.00,-2333166.00
2005.00,4.00,-13048233.00,-802628.00,-2278672.00,-4111334.00,48434.00,-20192434.00
2005.00,TOTAL,-19747536.00,-720181.00,-2109279.00,-4833816.00,190916.00,-27219896.00
2006.00,1.00,12049285.00,1110214.00,2966133.00,4705502.00,31349.00,20862482.00
2006.00,2.00,-642693.00,42078.00,83950.00,-186742.00,9296.00,-694110.00
2006.00,3.00,-592826.00,190769.00,310776.00,-109207.00,38787.00,-161700.00
2006.00,4.00,-1770107.00,121001.00,-172714.00,-57349.00,58610.00,-1820559.00
2006.00,TOTAL,9043659.00,1464063.00,3188145.00,4352204.00,138042.00,18186112.00
2007.00,1.00,-488478.00,303476.00,112807.00,-39093.00,44269.00,-67019.00
2007.00,2.00,3403274.00,368016.00,1224053.00,922144.00,62075.00,5979562.00
2007.00,3.00,626687.00,242447.00,591292.00,302755.00,37068.00,1800249.00
2007.00,4.00,-545608.00,221388.00,120177.00,135670.00,46986.00,-21387.00
2007.00,TOTAL,2995875.00,1135327.00,2048328.00,1321476.00,190398.00,7691404.00
2008.00,1.00,-9777777.00,-335226.00,-1326883.00,-151807.00,-8011.00,-11599703.00
2008.00,2.00,-2254820.00,-221837.00,-849465.00,-953640.00,3106.00,-4276656.00
2008.00,3.00,-2633833.00,171764.00,-213390.00,-58070.00,14972.00,-2718557.00
2008.00,4.00,-3507540.00,-29950.00,-886774.00,-499005.00,-231649.00,-5154919.00
2008.00,TOTAL,-18173970.00,-415249.00,-3276511.00,-1662522.00,-221582.00,-23749834.00
2009.00,1.00,-1516128.00,136650.00,-446958.00,-63964.00,45643.00,-1844758.00
2009.00,2.00,-344471.00,-11264.00,-164482.00,-114056.00,5612.00,-628662.00
2009.00,3.00,-144230.00,86376.00,-3069.00,-58753.00,17452.00,-102224.00
2009.00,4.00,-247244.00,192905.00,-20067.00,23138.00,100634.00,49366.00
2009.00,TOTAL,-2252074.00,404667.00,-634577.00,-213634.00,169340.00,-2526277.00
2010.00,1.00,-704121.00,40958.00,-146182.00,107467.00,86152.00,-615726.00
2010.00,2.00,657279.00,95963.00,396501.00,359678.00,86089.00,1595509.00
2010.00,3.00,1178343.00,262817.00,397620.00,461467.00,69066.00,2369313.00
2010.00,4.00,44633.00,235472.00,-200267.00,174245.00,62815.00,316898.00
2010.00,TOTAL,1176134.00,635210.00,447673.00,1102857.00,304122.00,3665995.00
2011.00,1.00,-455423.00,177773.00,-612217.00,37456.00,4263.00,-848148.00
2011.00,2.00,1152067.00,151816.00,-285411.00,-24198.00,9125.00,1003401.00
2011.00,3.00,761688.00,420131.00,94273.00,199367.00,6956.00,1482415.00
2011.00,4.00,-17775.00,162680.00,-363956.00,9876.00,-36306.00,-245480.00
2011.00,TOTAL,1440558.00,912402.00,-1167311.00,222501.00,-15962.00,1392188.00
2012.00,1.00,-213497.00,-357006.00,-876974.00,-196898.00,-47476.00,-1691852.00
2012.00,2.00,1513613.00,-104616.00,-293620.00,-310960.00,-33105.00,771313.00
2012.00,3.00,564041.00,187415.00,309960.00,327948.00,-19657.00,1369708.00
2012.00,4.00,348019.00,169237.00,-269382.00,-240082.00,-93230.00,-85437.00
2012.00,TOTAL,2212176.00,-104970.00,-1130016.00,-419991.00,-193468.00,363732.00
2013.00,1.00,227114.00,290326.00,-372745.00,-335847.00,145522.00,-45631.00
2013.00,2.00,2147207.00,-59773.00,299871.00,-198500.00,-42398.00,2146407.00
2013.00,3.00,2384395.00,125408.00,620320.00,83532.00,9086.00,3222741.00
2013.00,4.00,5763127.00,156472.00,899296.00,610054.00,-41253.00,7387696.00
2013.00,TOTAL,10521844.00,512433.00,1446741.00,159239.00,70956.00,12711213.00
2014.00,1.00,926580.00,22305.00,-269343.00,-145495.00,15751.00,549797.00
2014.00,2.00,3467788.00,-54932.00,521443.00,-120602.00,35687.00,3849384.00
2014.00,3.00,2828108.00,-75577.00,633410.00,96429.00,40277.00,3522647.00
2014.00,4.00,1422907.00,-131575.00,-342098.00,-468313.00,37883.00,518805.00
2014.00,TOTAL,8645383.00,-239780.00,543413.00,-637981.00,129598.00,8440634.00
2015.00,1.00,3055504.00,213705.00,152544.00,79301.00,43486.00,3544541.00
2015.00,2.00,4678728.00,158598.00,655387.00,201055.00,38855.00,5732622.00
2015.00,3.00,6494263.00,604630.00,1683382.00,888611.00,-15769.00,9655117.00
2015.00,4.00,6983407.00,25921.00,407138.00,-7333.00,38520.00,7447652.00
2015.00,TOTAL,21211902.00,1002854.00,2898451.00,1161633.00,105091.00,26379931.00
2016.00,1.00,2856167.00,362407.00,43896.00,226726.00,5922.00,3495119.00
2016.00,2.00,4229096.00,279168.00,326080.00,257402.00,2399.00,5094145.00
2016.00,3.00,3407438.00,266508.00,351436.00,163709.00,6472.00,4195563.00
2016.00,4.00,2861738.00,141921.00,-91411.00,-168870.00,81537.00,2824916.00
2016.00,TOTAL,13354439.00,1050005.00,630002.00,478968.00,96330.00,15609744.00
2017.00,1.00,2647152.00,61452.00,-134888.00,-240086.00,-15375.00,2318254.00
2017.00,2.00,5046701.00,152157.00,115185.00,-259166.00,-59347.00,4995529.00
2017.00,3.00,3575301.00,380782.00,19548.00,-87092.00,13447.00,3901986.00
2017.00,4.00,5752299.00,156080.00,-227641.00,-255386.00,163358.00,5588711.00
2017.00,TOTAL,17021453.00,750471.00,-227796.00,-841730.00,102083.00,16804481.00
2018.00,1.00,3150849.00,341526.00,319232.00,-399452.00,20232.00,3432387.00
2018.00,2.00,3746860.00,150583.00,396013.00,-215682.00,32741.00,4110516.00
2018.00,3.00,3473163.00,336129.00,391801.00,-119818.00,40944.00,4122218.00
2018.00,4.00,3738630.00,205160.00,11404.00,-272172.00,80929.00,3763951.00
2018.00,TOTAL,14109503.00,1033398.00,1118450.00,-1007124.00,174844.00,15429071.00
2019.00,1.00,2732085.00,269912.00,-146614.00,-143659.00,-25952.00,2685771.00
2019.00,2.00,4891390.00,337052.00,278518.00,-275831.00,17323.00,5248453.00
2019.00,3.00,4344519.00,477840.00,323253.00,-191276.00,-50583.00,4903753.00
2019.00,4.00,3737977.00,465079.00,-76833.00,-340004.00,-191673.00,3594546.00
2019.00,TOTAL,15705970.00,1549883.00,378323.00,-950769.00,-250885.00,16432523.00
2020.00,1.00,-3225492.00,-251044.00,-924766.00,-553586.00,12807.00,-4942081.00
2020.00,2.00,-8060368.00,-432403.00,-1134773.00,-720025.00,382662.00,-9964907.00
2020.00,3.00,-8804842.00,-609596.00,-763418.00,-386205.00,203687.00,-10360372.00
2020.00,4.00,-4523796.00,-601501.00,-715711.00,-96464.00,299835.00,-5637637.00
2020.00,TOTAL,-24614498.00,-1894543.00,-3538667.00,-1756279.00,898991.00,-30904997.00
2021.00,1.00,-1356407.00,-1441636.00,-411565.00,-351969.00,196120.00,-3365457.00
2021.00,2.00,2800554.00,-251985.00,-706843.00,-64730.00,211510.00,1988506.00
2021.00,TOTAL,1444146.00,-1693621.00,-1118408.00,-416699.00,407630.00,-1376951.00
